,Item,Pronunciation,Phonology,Frequency,Length
8158,heavenly,HH EH V AH N L IY,hEvxnli,5.53,7
8159,heavenward,HH EH V AH N W AH R D,hEvxnwxrd,0.02,9
8160,heavier,HH EH V IY AH R,hEvixr,2.29,6
8161,heaviest,HH EH V IY AH S T,hEvixst,0.69,7
8162,heavily,HH EH V AH L IY,hEvxli,6.12,6
8163,heaviness,HH EH V IY N IH S,hEvinIs,0.22,7
8164,heaving,HH IY V IH NG,hivIG,0.61,5
8165,heavy,HH EH V IY,hEvi,47.29,4
8166,heck,HH EH K,hEk,18.14,3
8167,hectic,HH EH K T IH K,hEktIk,1.84,6
8168,hedge,HH EH JH,hEJ,1.55,3
8169,hedonism,HH IY D AH N IH Z AH M,hidxnIzxm,0.1,9
8170,hedonistic,HH IY D AH N IH S T IH K,hidxnIstIk,0.1,10
8171,heed,HH IY D,hid,1.8,3
8172,heedless,HH IY D L IH S,hidlIs,0.06,6
8177,heft,HH EH F T,hEft,0.2,4
8178,hefty,HH EH F T IY,hEfti,1.22,5
8179,hegemony,HH IH JH EH M AH N IY,hIJEmxni,0.08,8
8180,height,HH AY T,hYt,9.33,3
8181,heighten,HH AY T AH N,hYtxn,0.18,5
8182,heightening,HH AY T N IH NG,hYtnIG,0.04,6
8187,heiress,AE R IH S,ArIs,1.14,4
8188,heist,HH AY S T,hYst,3.14,4
8189,helicopter,HH EH L AH K AA P T AH R,hElxkaptxr,15.8,10
8190,heliotrope,HH IY L Y AH T R OW P,hilyxtrop,0.06,9
8191,helium,HH IY L IY AH M,hilixm,1.43,6
8192,hell,HH EH L,hEl,470.82,3
8193,hellion,HH EH L Y AH N,hElyxn,0.08,6
8194,hello,HH EH L OW,hElo,585.43,4
8195,helluva,HH EH L AH V AH,hElxvx,0.92,6
8196,helm,HH EH L M,hElm,5.35,4
8197,helmet,HH EH L M AH T,hElmxt,9.47,6
8198,helmsman,HH EH L M Z M AH N,hElmzmxn,0.51,8
8199,help,HH EH L P,hElp,921.12,4
8200,helper,HH EH L P AH R,hElpxr,2.02,6
8201,helpful,HH EH L P F AH L,hElpfxl,12.14,7
8202,helpless,HH EH L P L IH S,hElplIs,11.14,7
8203,helplessness,HH EH L P L IH S N EH S,hElplIsnEs,0.24,10
8204,helpmate,HH EH L P M EY T,hElpmet,0.1,7
8205,hem,HH EH M,hEm,0.82,3
8206,hemisphere,HH EH M AH S F IH R,hEmxsfIr,1.49,8
8207,hemlock,HH EH M L AA K,hEmlak,0.63,6
8208,hemoglobin,HH IY M AH G L OW B IH N,himxglobIn,0.55,10
8209,hemorrhage,HH EH M AH R IH JH,hEmxrIJ,1.71,7
8210,hemorrhoid,HH EH M AH R OY D,hEmxrOd,0.35,7
8211,hen,HH EH N,hEn,3.2,3
8212,henchman,HH EH N CH M AH N,hEnCmxn,0.33,7
8213,henpeck,HH EH N P EH K,hEnpEk,0.02,6
8214,hepatitis,HH EH P AH T AY T IH S,hEpxtYtIs,1.55,9
8215,herald,HH EH R AH L D,hErxld,2.59,6
8216,herb,HH AH R B,hxrb,4.98,4
8217,herd,HH AH R D,hxrd,7.06,4
8218,herding,HH AH R D IH NG,hxrdIG,0.33,6
8223,hereditary,HH AH R EH D IH T EH R IY,hxrEdItEri,1.18,10
8224,heredity,HH AH R EH D IH T IY,hxrEdIti,0.25,8
8225,heresy,HH EH R IH S IY,hErIsi,1.0,6
8226,heretic,HH EH R AH T IH K,hErxtIk,0.59,7
8227,heritage,HH EH R AH T IH JH,hErxtIJ,2.53,7
8228,hermetic,HH AH R M EH T IH K,hxrmEtIk,0.04,8
8229,hero,HH IH R OW,hIro,49.84,4
8230,heroic,HH IH R OW IH K,hIroIk,4.59,6
8231,heroics,HH IH R OW IH K S,hIroIks,0.67,7
8240,heroism,HH EH R OW IH Z AH M,hEroIzxm,1.1,8
8241,heron,HH EH R AH N,hErxn,0.27,5
8242,herpetology,HH AH R P IH T AA L AH JH IY,hxrpItalxJi,0.02,11
8243,herring,HH EH R IH NG,hErIG,2.98,5
8244,herringbone,HH EH R IH NG B OW N,hErIGbon,0.08,8
8245,herself,HH AH R S EH L F,hxrsElf,52.45,7
8246,hesitance,HH EH Z AH T AH N S,hEzxtxns,0.02,8
8247,hesitancy,HH EH Z IH T AH N S IY,hEzItxnsi,0.04,9
8248,hesitant,HH EH Z IH T IH N T,hEzItInt,0.41,8
8249,hesitate,HH EH Z IH T EY T,hEzItet,5.47,7
8250,hesitation,HH EH Z IH T EY SH IH N,hEzIteSIn,1.84,9
8251,heterogeneous,HH EH T AH R OW JH IY N IY AH S,hEtxroJinixs,0.04,12
8256,hex,HH EH K S,hEks,1.29,4
8257,hexagon,HH EH K S AH G AA N,hEksxgan,0.08,8
8258,hexagonal,HH EH K S AE G IH N AH L,hEksAgInxl,0.1,10
8259,heyday,HH EY D EY,hede,0.16,4
8264,hibachi,HH IH B AA CH IY,hIbaCi,0.14,6
8265,hibernate,HH AY B AH R N EY T,hYbxrnet,0.2,8
8266,hiccup,HH IH K AH P,hIkxp,0.53,5
8267,hick,HH IH K,hIk,2.0,3
8268,hickory,HH IH K AH R IY,hIkxri,1.35,6
8269,hide,HH AY D,hYd,69.69,3
8270,hideaway,HH AY D AH W EY,hYdxwe,1.02,6
8271,hideous,HH IH D IY AH S,hIdixs,5.37,6
8272,hiding,HH AY D IH NG,hYdIG,43.27,5
8273,hierarchy,HH AY AH R AA R K IY,hYxrarki,0.63,8
8278,highball,HH AY B AO L,hYbcl,0.67,5
8279,highboy,HH AY B OY,hYbO,0.08,4
8280,higher,HH AY AH R,hYxr,27.84,4
8281,highest,HH AY AH S T,hYxst,12.67,5
8282,highland,HH AY L AH N D,hYlxnd,1.59,6
8283,highlight,HH AY L AY T,hYlYt,1.55,5
8284,highly,HH AY L IY,hYli,21.2,4
8285,highness,HH AY N IH S,hYnIs,15.82,5
8286,highroad,HH AY R OW D,hYrod,0.02,5
8287,highway,HH AY W EY,hYwe,17.86,4
8288,highwayman,HH AY W EY M AH N,hYwemxn,0.31,7
8289,hijack,HH AY JH AE K,hYJAk,1.55,5
8290,hijacker,HH AY JH AE K AH R,hYJAkxr,0.51,7
8291,hijacking,HH AY JH AE K IH NG,hYJAkIG,1.43,7
8292,hike,HH AY K,hYk,6.53,3
8293,hiking,HH AY K IH NG,hYkIG,2.65,5
8294,hilarious,HH IH L AE R IY AH S,hIlArixs,5.78,8
8295,hilarity,HH IH L AE R IH T IY,hIlArIti,0.14,8
8296,hill,HH IH L,hIl,37.55,3
8297,hillbilly,HH IH L B IH L IY,hIlbIli,2.04,7
8298,hillside,HH IH L S AY D,hIlsYd,1.22,6
8299,hilltop,HH IH L T AA P,hIltap,0.55,6
8300,hilt,HH IH L T,hIlt,0.55,4
8301,himself,HH IH M S EH L F,hImsElf,140.55,7
8302,hind,HH AY N D,hYnd,2.45,4
8303,hinder,HH IH N D AH R,hIndxr,0.73,6
8304,hindmost,HH AY N D M OW S T,hYndmost,0.06,8
8305,hindrance,HH IH N D R AH N S,hIndrxns,0.27,8
8306,hindsight,HH AY N D S AY T,hYndsYt,0.9,7
8307,hinge,HH IH N JH,hInJ,0.57,4
8308,hint,HH IH N T,hInt,9.2,4
8309,hinterland,HH IH N T AH R L AE N D,hIntxrlAnd,0.04,10
8310,hip,HH IH P,hIp,15.41,3
8311,hipster,HH IH P S T AH R,hIpstxr,0.24,7
8312,hire,HH AY R,hYr,25.53,3
8313,hiss,HH IH S,hIs,0.92,3
8314,hissing,HH IH S IH NG,hIsIG,1.43,5
8315,histology,HH IH S T AA L AH JH IY,hIstalxJi,0.1,9
8316,historian,HH IH S T OW R IY AH N,hIstorixn,0.88,9
8317,historic,HH IH S T AO R IH K,hIstcrIk,3.63,8
8318,historical,HH IH S T AO R IH K AH L,hIstcrIkxl,5.27,10
8319,historiography,HH IH S T OW R IY AA G R AH F IY,hIstoriagrxfi,0.02,13
8320,history,HH IH S T AH R IY,hIstxri,83.92,7
8321,histrionics,HH IH S T R IY AA N IH K S,hIstrianIks,0.06,11
8322,hit,HH IH T,hIt,275.0,3
8323,hitch,HH IH CH,hIC,4.08,3
8324,hitter,HH IH T AH R,hItxr,1.55,5
8325,hive,HH AY V,hYv,0.98,3
8326,hoarse,HH OW R S,hors,0.49,4
8327,hoarseness,HH OW R S N EH S,horsnEs,0.14,7
8328,hoax,HH OW K S,hoks,2.41,4
8329,hob,HH AA B,hab,0.06,3
8330,hobbing,HH AA B IH NG,habIG,0.02,5
8331,hobble,HH AA B AH L,habxl,0.35,5
8332,hobby,HH AA B IY,habi,6.94,4
8333,hobo,HH OW B OW,hobo,1.78,4
8342,hockey,HH AA K IY,haki,11.53,4
8343,hoe,HH OW,ho,0.92,2
8344,hog,HH AO G,hcg,5.12,3
8345,hoist,HH OY S T,hOst,2.06,4
8346,hold,HH OW L D,hold,436.73,4
8347,holder,HH OW L D AH R,holdxr,1.61,6
8348,holding,HH OW L D IH NG,holdIG,69.22,6
8349,holdover,HH OW L D OW V AH R,holdovxr,0.1,8
8350,holdup,HH OW L D AH P,holdxp,2.59,6
8355,holiday,HH AA L IH D EY,halIde,21.29,6
8356,holiness,HH OW L IY N IH S,holinIs,3.12,7
8357,holler,HH AA L AH R,halxr,5.9,5
8358,hollow,HH AA L OW,halo,12.18,4
8359,hollyhock,HH AA L IY HH AA K,halihak,0.04,7
8360,holocaust,HH AA L AH K AO S T,halxkcst,1.96,8
8361,holster,HH OW L S T AH R,holstxr,2.18,7
8366,homage,HH AA M IH JH,hamIJ,1.31,5
8367,home,HH OW M,hom,774.33,3
8368,homebound,HH OW M B AW N D,hombWnd,0.04,7
8369,homebuilding,HH OW M B IH L D IH NG,hombIldIG,0.02,9
8370,homecoming,HH OW M K AH M IH NG,homkxmIG,5.59,8
8371,homeland,HH OW M L AE N D,homlAnd,4.78,7
8372,homely,HH OW M L IY,homli,0.92,5
8373,homemade,HH OW M M EY D,hommed,2.86,6
8374,homemaker,HH OW M M EY K AH R,hommekxr,0.33,8
8375,homeowner,HH OW M OW N AH R,homonxr,1.18,7
8376,homer,HH OW M AH R,homxr,6.67,5
8377,homesick,HH OW M S IH K,homsIk,2.41,6
8378,homesickness,HH OW M S IH K N EH S,homsIknEs,0.12,9
8379,homestead,HH OW M S T EH D,homstEd,1.16,7
8380,homesteader,HH OW M S T EH D AH R,homstEdxr,0.06,9
8381,homicidal,HH AA M AH S AY D AH L,hamxsYdxl,2.02,9
8382,homicide,HH AA M AH S AY D,hamxsYd,15.33,7
8383,homo,HH OW M OW,homo,3.71,4
8384,homogeneous,HH OW M AH JH IY N IY AH S,homxJinixs,0.06,10
8385,homosexual,HH OW M AH S EH K SH UW AH L,homxsEkSuxl,4.73,11
8386,hon,HH AH N,hxn,16.41,3
8387,honest,AA N IH S T,anIst,72.33,5
8388,honesty,AA N IH S T IY,anIsti,7.22,6
8389,honey,HH AH N IY,hxni,300.49,4
8390,honeybee,HH AH N IY B IY,hxnibi,0.2,6
8391,honeycomb,HH AH N IY K OW M,hxnikom,0.39,7
8392,honeymoon,HH AH N IY M UW N,hxnimun,16.2,7
8393,honeysuckle,HH AH N IY S AH K AH L,hxnisxkxl,0.18,9
8394,honor,AA N AH R,anxr,96.31,4
8395,honorable,AA N AH R AH B AH L,anxrxbxl,7.24,8
8396,honorary,AA N AH R EH R IY,anxrEri,1.51,7
8397,honoree,AA N AH R IY,anxri,0.06,5
8398,hooch,HH UW CH,huC,1.04,3
8399,hood,HH UH D,hUd,15.39,3
8400,hoodlum,HH UW D L AH M,hudlxm,1.29,6
8401,hoof,HH UH F,hUf,1.73,3
8402,hook,HH UH K,hUk,38.0,3
8403,hookup,HH UH K AH P,hUkxp,0.78,5
8404,hookworm,HH UH K W AH R M,hUkwxrm,0.06,7
8405,hoop,HH UW P,hup,2.69,3
8406,hooray,HH UH R EY,hUre,5.75,4
8407,hoosegow,HH UW S G AW,husgW,0.22,5
8408,hoot,HH UW T,hut,2.61,3
8409,hop,HH AA P,hap,19.16,3
8410,hope,HH OW P,hop,320.63,3
8411,hopeful,HH OW P F AH L,hopfxl,2.98,6
8412,hopeless,HH OW P L IH S,hoplIs,8.94,6
8413,hopelessly,HH OW P L IH S L IY,hoplIsli,1.53,8
8414,hopelessness,HH OW P L IH S N EH S,hoplIsnEs,0.22,9
8415,hopper,HH AA P AH R,hapxr,9.0,5
8416,hopscotch,HH AA P S K AA CH,hapskaC,0.29,7
8417,horde,HH OW R D,hord,1.14,4
8418,horizon,HH AH R AY Z AH N,hxrYzxn,4.47,7
8419,horizontal,HH AO R IH Z AA N T AH L,hcrIzantxl,1.51,10
8420,hormone,HH AO R M OW N,hcrmon,1.35,6
8421,horn,HH AO R N,hcrn,21.08,4
8422,horned,HH AO R N D,hcrnd,0.53,5
8423,horoscope,HH AO R IH S K OW P,hcrIskop,1.18,8
8424,horrible,HH AO R AH B AH L,hcrxbxl,42.43,7
8425,horribly,HH AO R AH B L IY,hcrxbli,2.45,7
8426,horrid,HH AO R AH D,hcrxd,2.45,5
8427,horrify,HH AO R AH F AY,hcrxfY,0.14,6
8428,horrifying,HH AO R AH F AY IH NG,hcrxfYIG,1.57,8
8429,horror,HH AO R AH R,hcrxr,9.18,5
8430,horse,HH AO R S,hcrs,92.88,4
8431,horseback,HH AO R S B AE K,hcrsbAk,1.86,7
8432,horseflesh,HH AO R S F L EH SH,hcrsflES,0.2,8
8433,horsehair,HH AO R S HH AE R,hcrshAr,0.12,7
8434,horseman,HH AO R S M AH N,hcrsmxn,1.2,7
8435,horsemanship,HH AO R S M AH N SH IH P,hcrsmxnSIp,0.14,10
8436,horseplay,HH AO R S P L EY,hcrsple,0.37,7
8437,horsepower,HH AO R S P AW AH R,hcrspWxr,1.22,8
8438,horsewoman,HH AO R S W UH M AH N,hcrswUmxn,0.02,9
8439,hose,HH OW Z,hoz,8.06,3
8440,hospice,HH AA S P IH S,haspIs,0.67,6
8441,hospitable,HH AA S P IH T AH B AH L,haspItxbxl,0.82,10
8442,hospital,HH AA S P IH T AH L,haspItxl,124.2,8
8443,hospitality,HH AA S P AH T AE L IH T IY,haspxtAlIti,4.53,11
8444,hospitalization,HH AA S P IH T AH L AH Z EY SH IH N,haspItxlxzeSIn,0.18,14
8445,hospitalize,HH AA S P IH T AH L AY Z,haspItxlYz,0.04,10
8446,host,HH OW S T,host,15.02,4
8447,hostage,HH AA S T IH JH,hastIJ,14.57,6
8448,hostess,HH OW S T IH S,hostIs,3.71,6
8449,hostile,HH AA S T AH L,hastxl,8.94,6
8450,hostility,HH AA S T IH L IH T IY,hastIlIti,2.73,9
8451,hostler,HH AA S L AH R,haslxr,0.02,6
8452,hot,HH AA T,hat,189.84,3
8453,hotbed,HH AA T B EH D,hatbEd,0.31,6
8454,hotdog,HH AA T D AO G,hatdcg,0.39,6
8455,hotel,HH OW T EH L,hotEl,103.22,5
8456,hothouse,HH AA T HH AW S,hathWs,0.31,6
8457,hotly,HH AA T L IY,hatli,0.12,5
8458,hotrod,HH AA T R AA D,hatrad,0.14,6
8459,hotter,HH AA T AH R,hatxr,4.67,5
8460,hottest,HH AA T AH S T,hatxst,6.18,6
8461,hound,HH AW N D,hWnd,5.04,4
8462,hour,AW R,Wr,162.29,2
8463,hourly,AW R L IY,Wrli,0.73,4
8464,house,HH AW S,hWs,514.0,3
8465,houseboat,HH AW S B OW T,hWsbot,0.78,6
8466,housebreaking,HH AW S B R EY K IH NG,hWsbrekIG,0.04,9
8467,household,HH AW S HH OW L D,hWshold,6.94,7
8468,householder,HH AW S HH OW L D AH R,hWsholdxr,0.22,9
8469,housekeeper,HH AW S K IY P AH R,hWskipxr,5.84,8
8470,housekeeping,HH AW S K IY P IH NG,hWskipIG,3.0,8
8471,housewife,HH AW S W AY F,hWswYf,3.53,6
8472,housework,HH AW S W AH R K,hWswxrk,1.25,7
8473,housing,HH AW Z IH NG,hWzIG,4.06,5
8474,hovel,HH AH V AH L,hxvxl,0.49,5
8475,hover,HH AH V AH R,hxvxr,1.16,5
8476,how,HH AW,hW,3056.22,2
8477,however,HH AW EH V AH R,hWEvxr,45.08,6
8478,howl,HH AW L,hWl,2.06,3
8479,hoy,HH OY,hO,0.55,2
8480,hub,HH AH B,hxb,3.06,3
8481,hubbub,HH AH B AH B,hxbxb,0.29,5
8482,hubby,HH AH B IY,hxbi,1.0,4
8483,hubris,HH Y UW B R IH S,hyubrIs,0.27,7
8484,huckster,HH AH K S T AH R,hxkstxr,0.06,7
8485,huddle,HH AH D AH L,hxdxl,2.18,5
8490,hug,HH AH G,hxg,19.33,3
8491,huge,HH Y UW JH,hyuJ,48.37,4
8492,hugging,HH AH G IH NG,hxgIG,2.86,5
8493,hulk,HH AH L K,hxlk,4.08,4
8494,hull,HH AH L,hxl,4.22,3
8495,hum,HH AH M,hxm,4.82,3
8496,human,HH Y UW M AH N,hyumxn,124.76,6
8497,humane,HH Y UW M EY N,hyumen,1.82,6
8498,humanism,HH Y UW M AH N IH Z AH M,hyumxnIzxm,0.06,10
8499,humanist,HH Y UW M AH N IH S T,hyumxnIst,0.08,9
8500,humanistic,HH Y UW M AH N IH S T IH K,hyumxnIstIk,0.04,11
8501,humanitarian,HH Y UW M AE N IH T EH R IY AH N,hyumAnItErixn,1.86,13
8502,humanity,HH Y UW M AE N IH T IY,hyumAnIti,9.71,9
8503,humanize,HH Y UW M AH N AY Z,hyumxnYz,0.16,8
8504,humanness,HH Y UW M AH N N AH S,hyumxnnxs,0.04,9
8505,humble,HH AH M B AH L,hxmbxl,9.8,6
8506,humbly,HH AH M B L IY,hxmbli,1.86,6
8507,humid,HH Y UW M IH D,hyumId,0.88,6
8508,humidity,HH Y UW M IH D IH T IY,hyumIdIti,1.33,9
8509,humiliate,HH Y UW M IH L IY EY T,hyumIliet,4.18,9
8510,humiliating,HH Y UW M IH L IY EY T IH NG,hyumIlietIG,5.88,11
8511,humiliatingly,HH Y UW M IH L IY EY T IH NG L IY,hyumIlietIGli,0.04,13
8512,humiliation,HH Y UW M IH L IY EY SH AH N,hyumIlieSxn,4.67,11
8513,humility,HH Y UW M IH L IH T IY,hyumIlIti,2.39,9
8514,humming,HH AH M IH NG,hxmIG,4.92,5
8515,humor,HH Y UW M AH R,hyumxr,16.65,6
8516,humorist,HH Y UW M AH R AH S T,hyumxrxst,0.04,9
8517,humorous,HH Y UW M AH R AH S,hyumxrxs,1.47,8
8518,hump,HH AH M P,hxmp,4.41,4
8519,hunch,HH AH N CH,hxnC,7.51,4
8520,hundred,HH AH N D R AH D,hxndrxd,78.73,7
8521,hundredth,HH AH N D R IH D TH,hxndrIdT,0.43,8
8522,hunger,HH AH NG G AH R,hxGgxr,5.88,6
8523,hungrier,HH AH NG G R IY AH R,hxGgrixr,0.25,8
8524,hungry,HH AH NG G R IY,hxGgri,77.08,6
8525,hunk,HH AH NG K,hxGk,5.16,4
8526,hunker,HH AH NG K AH R,hxGkxr,0.33,6
8527,hunt,HH AH N T,hxnt,25.86,4
8528,hunter,HH AH N T AH R,hxntxr,18.35,6
8529,hunting,HH AH N T IH NG,hxntIG,21.2,6
8530,hurdle,HH AH R D AH L,hxrdxl,0.73,6
8531,hurl,HH AH R L,hxrl,1.35,4
8532,hurley,HH AH R L IY,hxrli,4.22,5
8533,hurrah,HH AH R AA,hxra,2.35,4
8534,hurray,HH AH R EY,hxre,1.69,4
8535,hurricane,HH AH R AH K EY N,hxrxken,8.76,7
8536,hurry,HH AH R IY,hxri,173.65,4
8537,hurt,HH AH R T,hxrt,246.35,4
8538,hurtle,HH AH R T AH L,hxrtxl,0.02,6
8539,husband,HH AH Z B AH N D,hxzbxnd,194.8,7
8540,husbandry,HH AH Z B AH N D R IY,hxzbxndri,0.2,9
8541,hush,HH AH SH,hxS,7.61,3
8542,husky,HH AH S K IY,hxski,1.59,5
8543,hustle,HH AH S AH L,hxsxl,7.88,5
8544,hustler,HH AH S L AH R,hxslxr,2.96,6
8549,hyacinth,HH AY AH S AH N TH,hYxsxnT,0.41,7
8550,hybrid,HH AY B R AH D,hYbrxd,2.04,6
8551,hydrate,HH AY D R EY T,hYdret,0.49,6
8552,hydraulic,HH AY D R AO L IH K,hYdrclIk,1.14,8
8553,hydraulics,HH AY D R AO L IH K S,hYdrclIks,0.55,9
8554,hydrocarbon,HH AY D R AH K AA R B IH N,hYdrxkarbIn,0.12,11
8555,hydrochloride,HH AY D R AH K L OW R AY D,hYdrxklorYd,0.14,11
8556,hydrogen,HH AY D R AH JH IH N,hYdrxJIn,2.67,8
8557,hydrophobia,HH AY D R AH F OW B IY AH,hYdrxfobix,0.08,10
8558,hydrous,HH AY D R IH S,hYdrIs,0.02,6
8559,hydroxide,HH AY D R AA K S AY D,hYdraksYd,0.16,9
8560,hyena,HH AY IY N AH,hYinx,1.41,5
8561,hygiene,HH AY JH IY N,hYJin,2.12,5
8562,hymen,HH AY M AH N,hYmxn,0.49,5
8563,hymn,HH IH M,hIm,1.63,3
8564,hyperbole,HH AY P AH R B AH L IY,hYpxrbxli,0.22,9
8565,hyperbolic,HH AY P AH R B AA L IH K,hYpxrbalIk,0.14,10
8566,hyperemia,HH AY P AH R IY M IY AH,hYpxrimix,0.02,9
8567,hyperplasia,HH AY P AH R P L EY ZH AH,hYpxrpleZx,0.02,10
8568,hypertrophy,HH AY P AH R T R OW F IY,hYpxrtrofi,0.02,10
8569,hyphenate,HH AY F AH N EY T,hYfxnet,0.14,7
8570,hypnosis,HH IH P N OW S IH S,hIpnosIs,1.98,8
8571,hypnotic,HH IH P N AA T IH K,hIpnatIk,1.31,8
8572,hypnotize,HH IH P N IH T AY Z,hIpnItYz,0.61,8
8573,hypocrisy,HH IH P AA K R IH S IY,hIpakrIsi,1.65,9
8574,hypocrite,HH IH P AH K R IH T,hIpxkrIt,3.25,8
8575,hypocritical,HH IH P AH K R IH T IH K AH L,hIpxkrItIkxl,1.25,12
8576,hypodermic,HH AY P AH D AH R M IH K,hYpxdxrmIk,0.67,10
8577,hypothalamic,HH AY P OW TH AH L AE M IH K,hYpoTxlAmIk,0.1,11
8578,hypothalamus,HH AY P AH TH AE L AH M AH S,hYpxTAlxmxs,0.71,11
8579,hypothesis,HH AY P AA TH IH S IH S,hYpaTIsIs,0.86,9
8580,hypothesize,HH AY P AA TH IH S AY Z,hYpaTIsYz,0.08,9
8581,hypothetical,HH AY P AH TH EH T IH K AH L,hYpxTEtIkxl,2.45,11
8582,hypothyroidism,HH AY P AH TH AY R OY D IH Z AH M,hYpxTYrOdIzxm,0.02,13
8583,hysterectomy,HH IH S T AH R EH K T AH M IY,hIstxrEktxmi,0.61,12
8584,hysteria,HH IH S T EH R IY AH,hIstErix,2.27,8
8585,hysterical,HH IH S T EH R IH K AH L,hIstErIkxl,7.1,10
8595,ice,AY S,Ys,79.55,2
8596,icebox,AY S B AA K S,Ysbaks,2.43,6
8601,icicle,AY S IH K AH L,YsIkxl,0.29,6
8602,icing,AY S IH NG,YsIG,1.39,4
8603,icy,AY S IY,Ysi,2.65,3
8604,idea,AY D IY AH,Ydix,359.04,4
8605,ideal,AY D IY L,Ydil,7.33,4
8606,idealism,AY D IY L IH Z AH M,YdilIzxm,0.63,8
8607,idealist,AY D IY AH L IH S T,YdixlIst,0.67,8
8608,idealistic,AY D IY AH L IH S T IH K,YdixlIstIk,0.8,10
8609,idealization,AY D IY L AH Z EY SH IH N,YdilxzeSIn,0.02,10
8610,idealize,AY D IY L AY Z,YdilYz,0.12,6
8611,identical,AY D EH N T IH K AH L,YdEntIkxl,5.53,9
8612,identifiable,AY D EH N AH F AY AH B AH L,YdEnxfYxbxl,0.29,11
8613,identification,AY D EH N T IH F IH K EY SH IH N,YdEntIfIkeSIn,8.02,13
8614,identify,AY D EH N T IH F AY,YdEntIfY,16.18,8
8615,identity,AY D EH N T IH T IY,YdEntIti,12.98,8
8616,ideological,AY D IY AH L AA JH IH K AH L,YdixlaJIkxl,0.14,11
8617,ideology,AY D IY AA L AH JH IY,YdialxJi,0.65,8
8618,idiocy,IH D IY IH S IY,IdiIsi,0.57,6
8619,idiom,IH D IY AH M,Idixm,0.24,5
8620,idiomatic,IH D IY AH M AE T IH K,IdixmAtIk,0.06,9
8621,idiosyncrasy,IH D IY IH S IH NG K R IH S IY,IdiIsIGkrIsi,0.2,12
8622,idiosyncratic,IH D IY OW S IH N K R AE T IH K,IdiosInkrAtIk,0.16,13
8623,idiot,IH D IY IH T,IdiIt,66.22,5
8624,idiotic,IH D IY AA T IH K,IdiatIk,3.88,7
8634,idleness,AY D AH L N AH S,Ydxlnxs,0.16,7
8635,idler,AY D L AH R,Ydlxr,0.14,5
8645,idolatry,AY D AA L AH T R IY,Ydalxtri,0.12,8
8646,idolize,AY D AH L AY Z,YdxlYz,0.14,6
8656,idyllic,AY D IH L IH K,YdIlIk,0.45,6
8657,if,IH F,If,3541.37,2
8658,igneous,IH G N IY AH S,Ignixs,0.29,6
8659,ignite,IH G N AY T,IgnYt,1.0,5
8660,ignition,IH G N IH SH IH N,IgnISIn,4.16,7
8661,ignoramus,IH G N AH R EY M AH S,Ignxremxs,0.35,9
8662,ignorance,IH G N AH R AH N S,Ignxrxns,3.61,8
8663,ignorant,IH G N AH R AH N T,Ignxrxnt,6.25,8
8664,ignore,IH G N OW R,Ignor,18.65,5
8669,ileum,IH L IY AH M,Ilixm,0.22,5
8670,iliac,IH L IY AE K,IliAk,0.12,5
8675,illegal,IH L IY G AH L,Iligxl,23.51,6
8676,illegitimacy,IH L IH JH IH T AH M AH S IY,IlIJItxmxsi,0.04,11
8677,illegitimate,IH L IH JH IH T AH M AH T,IlIJItxmxt,1.33,10
8678,illicit,IH L IH S IH T,IlIsIt,0.71,6
8679,illiterate,IH L IH T AH R IH T,IlItxrIt,0.98,8
8680,illness,IH L N IH S,IlnIs,7.27,5
8681,illogical,IH L AA JH IH K AH L,IlaJIkxl,0.57,8
8682,illuminate,IH L UW M AH N EY T,Ilumxnet,0.82,8
8683,illuminating,IH L UW M AH N EY T IH NG,IlumxnetIG,0.47,10
8684,illumination,IH L UW M AH N EY SH AH N,IlumxneSxn,0.67,10
8685,illusion,IH L UW ZH IH N,IluZIn,8.25,6
8686,illusionary,IH L UW ZH AH N EH R IY,IluZxnEri,0.04,9
8687,illusions,IH L UW ZH AH N Z,IluZxnz,2.45,7
8688,illusive,IH L UW S IH V,IlusIv,0.12,6
8689,illusory,IH L UW S AH R IY,Ilusxri,0.04,7
8690,illustrate,IH L IH S T R EY T,IlIstret,0.78,8
8691,illustration,IH L IH S T R EY SH IH N,IlIstreSIn,0.47,10
8692,illustrative,IH L AH S T R AH T IH V,IlxstrxtIv,0.02,10
8693,illustrator,IH L AH S T R EY T AH R,Ilxstretxr,0.24,10
8694,illustrious,IH L AH S T R IY AH S,Ilxstrixs,1.41,9
8695,image,IH M IH JH,ImIJ,22.63,4
8696,imagery,IH M IH JH R IY,ImIJri,1.45,6
8697,imaginary,IH M AE JH IH N EH R IY,ImAJInEri,4.35,9
8698,imagination,IH M AE JH IH N EY SH IH N,ImAJIneSIn,17.35,10
8699,imaginative,IH M AE JH IH N IH T IH V,ImAJInItIv,1.37,10
8700,imagine,IH M AE JH IH N,ImAJIn,81.04,6
8701,imaging,IH M IH JH IH NG,ImIJIG,1.25,6
8702,imagining,IH M AE JH AH N IH NG,ImAJxnIG,4.84,8
8703,imbalance,IH M B AE L IH N S,ImbAlIns,1.06,8
8704,imbecile,IH M B AH S AH L,Imbxsxl,2.88,7
8709,imbibe,IH M B AY B,ImbYb,0.16,5
8710,imbroglio,IH M B R OW L IY OW,Imbrolio,0.02,8
8711,imbue,IH M B Y UW,Imbyu,0.1,5
8712,imitate,IH M AH T EY T,Imxtet,1.8,6
