Item,Pronunciation,Phonology,Frequency
mattress,M AE T R IH S,mAtrIs,6.61
maturation,M AE CH AH R EY SH IH N,mACxreSIn,0.06
mature,M AH CH UH R,mxCUr,8.22
maturity,M AH T Y UH R IH T IY,mxtyUrIti,2
maudlin,M AO D L IH N,mcdlIn,0.47
maul,M AO L,mcl,0.31
maul,M AO L,mcl,0.31
maul,M AO L,mcl,0.31
maul,M AO L,mcl,0.31
mauler,M AO L AH R,mclxr,0.12
mausoleum,M AO S AH L IY AH M,mcsxlixm,0.84
mauve,M OW V,mov,0.53
maverick,M AE V AH R IH K,mAvxrIk,2.63
maw,M AO,mc,0.24
mawkish,M AO K IH SH,mckIS,0.06
maxim,M AE K S AH M,mAksxm,1.27
maximal,M AE K S AH M AH L,mAksxmxl,0.04
maximization,M AE K S IH M IH Z EY SH AH N,mAksImIzeSxn,0.02
maximize,M AE K S AH M AY Z,mAksxmYz,0.88
maximum,M AE K S IH M AH M,mAksImxm,7.76
may,M EY,me,511.37
mayhem,M EY HH EH M,mehEm,2.14
mayonnaise,M EY AH N EY Z,mexnez,2.25
mayor,M EY AH R,mexr,31.27
mayoral,M EY AH R AH L,mexrxl,0.18
maze,M EY Z,mez,2.55
mazurka,M AH Z AH R K AH,mxzxrkx,0.22
me,M IY,mi,9241.94
me,M IY,mi,9241.94
me,M IY,mi,9241.94
me,M IY,mi,9241.94
me,M IY,mi,9241.94
me,M IY,mi,9241.94
me,M IY,mi,9241.94
me,M IY,mi,9241.94
me,M IY,mi,9241.94
mea,M IY,mi,0.71
mea,M IY,mi,0.71
mea,M IY,mi,0.71
mea,M IY,mi,0.71
mea,M IY,mi,0.71
mea,M IY,mi,0.71
mea,M IY,mi,0.71
mea,M IY,mi,0.71
mea,M IY,mi,0.71
meadow,M EH D OW,mEdo,2.27
meager,M IY G AH R,migxr,0.63
meal,M IY L,mil,28.86
mealtime,M IY L T AY M,miltYm,0.18
mean,M IY N,min,1243.98
mean,M IY N,min,1243.98
mean,M IY N,min,1243.98
mean,M IY N,min,1243.98
meander,M IY AE N D AH R,miAndxr,0.06
meanest,M IY N AH S T,minxst,1.86
meaning,M IY N IH NG,minIG,37.33
meaningful,M IY N IH NG F AH L,minIGfxl,3.45
meaningfulness,M IY N IH NG F AH L N EH S,minIGfxlnEs,0.02
meaningless,M IY N IH NG L IH S,minIGlIs,4.86
meanness,M IY N N AH S,minnxs,0.51
means,M IY N Z,minz,218.35
meantime,M IY N T AY M,mintYm,15.08
measles,M IY Z AH L Z,mizxlz,2.1
measurable,M EH ZH AH R AH B AH L,mEZxrxbxl,0.12
measure,M EH ZH AH R,mEZxr,10.53
measurement,M EH ZH AH R M AH N T,mEZxrmxnt,0.53
meat,M IY T,mit,43.65
meat,M IY T,mit,43.65
meat,M IY T,mit,43.65
meat,M IY T,mit,43.65
meat,M IY T,mit,43.65
meat,M IY T,mit,43.65
meat,M IY T,mit,43.65
meat,M IY T,mit,43.65
meat,M IY T,mit,43.65
meaty,M IY T IY,miti,0.35
mechanic,M IH K AE N IH K,mIkAnIk,5.06
mechanical,M AH K AE N IH K AH L,mxkAnIkxl,4.9
mechanics,M AH K AE N IH K S,mxkAnIks,2.41
mechanism,M EH K AH N IH Z AH M,mEkxnIzxm,3.73
mechanistic,M EH K AH N IH S T IH K,mEkxnIstIk,0.06
mechanization,M EH K AH N IH Z EY SH IH N,mEkxnIzeSIn,0.02
medal,M EH D AH L,mEdxl,11.57
medal,M EH D AH L,mEdxl,11.57
medal,M EH D AH L,mEdxl,11.57
medal,M EH D AH L,mEdxl,11.57
medallion,M AH D AE L Y AH N,mxdAlyxn,1.33
meddle,M EH D AH L,mEdxl,1.24
meddle,M EH D AH L,mEdxl,1.24
meddle,M EH D AH L,mEdxl,1.24
meddle,M EH D AH L,mEdxl,1.24
meddling,M EH D L IH NG,mEdlIG,1.35
median,M IY D IY AH N,midixn,0.39
mediate,M IY D IY EY T,midiet,0.27
medic,M EH D IH K,mEdIk,5.71
medical,M EH D IH K AH L,mEdIkxl,54.39
medication,M EH D AH K EY SH IH N,mEdxkeSIn,12.78
medicinal,M AH D IH S AH N AH L,mxdIsxnxl,0.61
medicine,M EH D IH S IH N,mEdIsIn,34.2
medico,M EH D IH K OW,mEdIko,0.16
medieval,M IY D IY IY V AH L,midiivxl,2.96
mediocre,M IY D IY OW K AH R,midiokxr,1.39
mediocrity,M IY D IY AA K R IH T IY,midiakrIti,0.71
meditate,M EH D IH T EY T,mEdItet,1.02
meditation,M EH D IH T EY SH IH N,mEdIteSIn,1.65
meditative,M EH D IH T EY T IH V,mEdItetIv,0.22
medium,M IY D IY AH M,midixm,7.1
medley,M EH D L IY,mEdli,0.63
meek,M IY K,mik,1.73
meet,M IY T,mit,352.27
meet,M IY T,mit,352.27
meet,M IY T,mit,352.27
meet,M IY T,mit,352.27
meet,M IY T,mit,352.27
meet,M IY T,mit,352.27
meet,M IY T,mit,352.27
meet,M IY T,mit,352.27
meet,M IY T,mit,352.27
meeting,M IY T IH NG,mitIG,132.39
megalomania,M EH G AH L OW M EY N IY AH,mEgxlomenix,0.1
megalopolis,M EH G AH L AA P AH L AH S,mEgxlapxlxs,0.02
megaton,M EH G AH T AH N,mEgxtxn,0.12
megawatt,M EH G AH W AA T,mEgxwat,0.04
melancholy,M EH L IH N K AA L IY,mElInkali,2.18
melange,M EH L AE NG,mElAG,0.1
meld,M EH L D,mEld,0.24
melee,M EY L EY,mele,0.27
mellow,M EH L OW,mElo,3
melodic,M AH L AA D IH K,mxladIk,0.2
melodically,M AH L AA D IH K AH L IY,mxladIkxli,0.04
melodious,M AH L OW D IY AH S,mxlodixs,0.16
melodrama,M EH L OW D R AA M AH,mElodramx,0.69
melodramatic,M EH L OW D R AH M AE T IH K,mElodrxmAtIk,1.22
melody,M EH L AH D IY,mElxdi,6.61
melon,M EH L IH N,mElIn,4.27
melt,M EH L T,mElt,7.31
melting,M EH L T IH NG,mEltIG,3.29
member,M EH M B AH R,mEmbxr,28.78
membership,M EH M B AH R SH IH P,mEmbxrSIp,3.24
membrane,M EH M B R EY N,mEmbren,1.12
memento,M IH M EH N T OW,mImEnto,1.27
memo,M EH M OW,mEmo,6.61
memoir,M EH M W AA R,mEmwar,0.18
memorabilia,M EH M AH R AH B IY L IY AH,mEmxrxbilix,0.49
memorable,M EH M AH R AH B AH L,mEmxrxbxl,2.25
memorandum,M EH M AH R AE N D AH M,mEmxrAndxm,0.53
memorial,M AH M OW R IY AH L,mxmorixl,7.06
memorialize,M AH M AO R IY AH L AY Z,mxmcrixlYz,0.14
memorization,M EH M AH R AH Z EY SH AH N,mEmxrxzeSxn,0.14
memorize,M EH M AH R AY Z,mEmxrYz,2.9
memorizing,M EH M AH R AY Z IH NG,mEmxrYzIG,0.63
memory,M EH M AH R IY,mEmxri,48.57
menace,M EH N IH S,mEnIs,3.73
menagerie,M AH N AE JH AH R IY,mxnAJxri,0.33
mend,M EH N D,mEnd,2.61
mendacious,M EH N D EY SH IH S,mEndeSIs,0.14
menfolk,M EH N F OW K,mEnfok,0.2
menial,M IY N IY AH L,minixl,0.51
menstruation,M EH N S T R UH EY SH IH N,mEnstrUeSIn,0.27
mental,M EH N T AH L,mEntxl,19.65
mentality,M EH N T AE L IH T IY,mEntAlIti,2.12
mention,M EH N CH IH N,mEnCIn,59.47
mentioning,M EH N SH AH N IH NG,mEnSxnIG,2.86
mentor,M EH N T AO R,mEntcr,3.49
menu,M EH N Y UW,mEnyu,9.96
mercenary,M AH R S AH N EH R IY,mxrsxnEri,1.92
mercer,M AH R S AH R,mxrsxr,2.29
merchandise,M AH R CH IH N D AY Z,mxrCIndYz,4.8
merchant,M AH R CH IH N T,mxrCInt,2.86
merciful,M AH R S IH F AH L,mxrsIfxl,3.49
merciless,M AH R S IH L IH S,mxrsIlIs,1.2
mercurial,M AH R K Y UH R IY AH L,mxrkyUrixl,0.18
mercury,M AH R K Y AH R IY,mxrkyxri,3.82
mercy,M AH R S IY,mxrsi,25.31
mere,M IH R,mIr,7.86
merely,M IH R L IY,mIrli,15.59
merest,M EH R AH S T,mErxst,0.08
meretricious,M EH R AH T R IH SH IH S,mErxtrISIs,0.02
merge,M AH R JH,mxrJ,1.39
merger,M AH R JH AH R,mxrJxr,3.96
merging,M AH R JH IH NG,mxrJIG,0.45
merit,M EH R IH T,mErIt,3.39
meritorious,M EH R AH T OW R IY AH S,mErxtorixs,0.25
mermaid,M AH R M EY D,mxrmed,3.16
merriest,M AE R IY AH S T,mArixst,0.06
merriment,M EH R IH M AH N T,mErImxnt,0.24
merry,M EH R IY,mEri,39.1
merrymaking,M EH R IY M EY K IH NG,mErimekIG,0.02
mesenteric,M EH S AH N T EH R IH K,mEsxntErIk,0.16
mesh,M EH SH,mES,0.69
mesmerize,M EH Z M AH R AY Z,mEzmxrYz,0.02
mess,M EH S,mEs,78.14
message,M EH S IH JH,mEsIJ,91.51
messenger,M EH S AH N JH AH R,mEsxnJxr,8.06
messieurs,M EY S Y AH R Z,mesyxrz,0.71
messy,M EH S IY,mEsi,6.86
metabolic,M EH T AH B AA L IH K,mEtxbalIk,0.78
metabolism,M AH T AE B AH L IH Z AH M,mxtAbxlIzxm,1.08
metabolite,M AH T AE B AH L AY T,mxtAbxlYt,0.06
metabolize,M AH T AE B AH L AY Z,mxtAbxlYz,0.24
metal,M EH T AH L,mEtxl,19.45
metal,M EH T AH L,mEtxl,19.45
metal,M EH T AH L,mEtxl,19.45
metal,M EH T AH L,mEtxl,19.45
metallic,M AH T AE L IH K,mxtAlIk,1.31
metalworking,M EH T AH L W AH R K IH NG,mEtxlwxrkIG,0.04
metamorphic,M EH T AH M AO R F IH K,mEtxmcrfIk,0.06
metamorphose,M EH T AH M AO R F OW Z,mEtxmcrfoz,0.02
metamorphosis,M EH T AH M AO R F AH S IH S,mEtxmcrfxsIs,0.55
metaphor,M EH T AH F AO R,mEtxfcr,3.88
metaphorical,M EH T AH F AO R IH K AH L,mEtxfcrIkxl,0.27
metaphysic,M EH T AH F IH Z IH K,mEtxfIzIk,0.06
metaphysical,M EH T AH F IH Z IH K AH L,mEtxfIzIkxl,0.82
metaphysics,M EH T AH F IH Z IH K S,mEtxfIzIks,0.2
mete,M IY T,mit,0.08
mete,M IY T,mit,0.08
mete,M IY T,mit,0.08
mete,M IY T,mit,0.08
mete,M IY T,mit,0.08
mete,M IY T,mit,0.08
mete,M IY T,mit,0.08
mete,M IY T,mit,0.08
mete,M IY T,mit,0.08
meteor,M IY T IY AH R,mitixr,3.53
meteoric,M IY T IY AO R IH K,miticrIk,0.18
meteorite,M IY T IY AH R AY T,mitixrYt,0.8
meteorological,M IY T IY AH R AH L AA JH IH K AH L,mitixrxlaJIkxl,0.27
meter,M IY T AH R,mitxr,6.22
methacrylate,M EH TH AE K R AH L EY T,mETAkrxlet,0.02
method,M EH TH AH D,mETxd,7.88
methodical,M AH TH AA D IH K AH L,mxTadIkxl,0.51
methodological,M EH TH AH D AH L AA JH IH K AH L,mETxdxlaJIkxl,0.02
methodology,M EH TH AH D AA L AH JH IY,mETxdalxJi,0.65
methyl,M EH TH AH L,mETxl,0.2
meticulous,M AH T IH K Y UH L AH S,mxtIkyUlxs,1.02
meticulously,M AH T IH K Y AH L AH S L IY,mxtIkyxlxsli,0.37
metis,M EH T IH S,mEtIs,0.02
metronome,M EH T R AH N OW M,mEtrxnom,0.2
metropolis,M AH T R AA P AH L AH S,mxtrapxlxs,1.02
metropolitan,M EH T R AH P AA L IH T AH N,mEtrxpalItxn,1.49
mettle,M EH T AH L,mEtxl,0.33
mettle,M EH T AH L,mEtxl,0.33
mettle,M EH T AH L,mEtxl,0.33
mettle,M EH T AH L,mEtxl,0.33
mettlesome,M EH T AH L S AH M,mEtxlsxm,0.02
mew,M Y UW,myu,0.45
mezzo,M EH T S OW,mEtso,0.06
mi,M IY,mi,6.02
mi,M IY,mi,6.02
mi,M IY,mi,6.02
mi,M IY,mi,6.02
mi,M IY,mi,6.02
mi,M IY,mi,6.02
mi,M IY,mi,6.02
mi,M IY,mi,6.02
mi,M IY,mi,6.02
mica,M AY K AH,mYkx,0.12
microbial,M AY K R OW B IY AH L,mYkrobixl,0.04
microchemistry,M AY K R OW K EH M IH S T R IY,mYkrokEmIstri,0.04
microcosm,M AY K R AH K AA Z AH M,mYkrxkazxm,0.14
microfilm,M AY K R AH F IH L M,mYkrxfIlm,1.31
micrometer,M AY K R AA M AH T AH R,mYkramxtxr,0.04
micron,M AY K R AA N,mYkran,0.06
microorganism,M AY K R OW AO R G IH N IH Z AH M,mYkrocrgInIzxm,0.14
microphone,M AY K R AH F OW N,mYkrxfon,4.55
microscope,M AY K R AH S K OW P,mYkrxskop,2.53
microscopic,M AY K R IH S K AA P IH K,mYkrIskapIk,1.14
microscopy,M AY K R AA S K AH P IY,mYkraskxpi,0.1
microwave,M AY K R OW W EY V,mYkrowev,3.9
mid,M IH D,mId,1.25
midair,M IH D EH R,mIdEr,0.69
midday,M IH D EY,mIde,0.82
middle,M IH D AH L,mIdxl,89.2
midmorning,M IH D M AO R N IH NG,mIdmcrnIG,0.08
midnight,M IH D N AY T,mIdnYt,28.37
midpoint,M IH D P OY N T,mIdpOnt,0.04
midshipman,M IH D SH IH P M AH N,mIdSIpmxn,0.73
midst,M IH D S T,mIdst,3.43
midstream,M IH D S T R IY M,mIdstrim,0.04
midsummer,M IH D S AH M AH R,mIdsxmxr,0.59
midway,M IH D W EY,mIdwe,2.22
midweek,M IH D W IY K,mIdwik,0.12
midwestern,M IH D W EH S T AH R N,mIdwEstxrn,0.61
midwife,M IH D W AY F,mIdwYf,0.57
mien,M IY N,min,0.02
mien,M IY N,min,0.02
mien,M IY N,min,0.02
mien,M IY N,min,0.02
miff,M IH F,mIf,0.02
might,M AY T,mYt,516.35
mightiest,M AY T IY AH S T,mYtixst,0.33
mighty,M AY T IY,mYti,26.57
migrant,M AY G R AH N T,mYgrxnt,0.25
migrate,M AY G R EY T,mYgret,0.41
migration,M AY G R EY SH IH N,mYgreSIn,0.65
migratory,M AY G R AH T OW R IY,mYgrxtori,0.27
mike,M AY K,mYk,111.9
mild,M AY L D,mYld,4.8
milder,M AY L D AH R,mYldxr,0.1
mildew,M IH L D UW,mIldu,0.43
mildly,M AY L D L IY,mYldli,1.33
mile,M AY L,mYl,21
mileage,M AY L IH JH,mYlIJ,1.98
milestone,M AY L S T OW N,mYlston,0.71
milieu,M IY L Y UW,milyu,0.22
militant,M IH L IH T IH N T,mIlItInt,0.88
militarism,M IH L IH T AH R IH Z AH M,mIlItxrIzxm,0.1
militarist,M IH L AH T AH R IH S T,mIlxtxrIst,0.02
military,M IH L IH T EH R IY,mIlItEri,41.24
militate,M IH L IH T EY T,mIlItet,0.04
militia,M AH L IH SH AH,mxlISx,2.25
milk,M IH L K,mIlk,42.53
milky,M IH L K IY,mIlki,1.86
mill,M IH L,mIl,9.53
millennium,M AH L EH N IY AH M,mxlEnixm,4.29
milligram,M IH L AH G R AE M,mIlxgrAm,0.55
milliliter,M IH L AH L IY T AH R,mIlxlitxr,0.04
millimeter,M IH L AH M IY T AH R,mIlxmitxr,1.37
millinery,M IH L AH N EH R IY,mIlxnEri,0.14
milling,M IH L IH NG,mIlIG,0.29
million,M IH L IY AH N,mIlixn,120.49
millionaire,M IH L Y AH N AE R,mIlyxnAr,5.71
millstone,M IH L S T OW N,mIlston,0.39
milquetoast,M IH L K T OW S T,mIlktost,0.1
mimetic,M AH M EH T IH K,mxmEtIk,0.04
minaret,M IH N AH R EH T,mInxrEt,0.04
mince,M IH N S,mIns,0.53
mind,M AY N D,mYnd,484.61
mindful,M AY N D F AH L,mYndfxl,0.49
mindless,M AY N D L IH S,mYndlIs,1.71
mine,M AY N,mYn,250.98
miner,M AY N AH R,mYnxr,1.45
miner,M AY N AH R,mYnxr,1.45
miner,M AY N AH R,mYnxr,1.45
miner,M AY N AH R,mYnxr,1.45
mineral,M IH N AH R AH L,mInxrxl,2.59
mineralogy,M IH N AH R AA L AH JH IY,mInxralxJi,0.02
mingle,M IH NG G AH L,mIGgxl,2.69
miniature,M IH N IY AH CH UH R,mInixCUr,2.51
minimal,M IH N AH M AH L,mInxmxl,2.16
minimize,M IH N AH M AY Z,mInxmYz,1.06
minimum,M IH N IH M AH M,mInImxm,8.14
mining,M AY N IH NG,mYnIG,3.16
minister,M IH N IH S T AH R,mInIstxr,18.45
ministerial,M IH N IH S T IH R IY AH L,mInIstIrixl,0.1
ministry,M IH N IH S T R IY,mInIstri,3.84
mink,M IH NG K,mIGk,3.71
minor,M AY N AH R,mYnxr,12.82
minor,M AY N AH R,mYnxr,12.82
minor,M AY N AH R,mYnxr,12.82
minor,M AY N AH R,mYnxr,12.82
minority,M AY N AO R AH T IY,mYncrxti,2.22
minstrel,M IH N S T R AH L,mInstrxl,0.55
mint,M IH N T,mInt,5.43
minuet,M IH N Y UW EH T,mInyuEt,0.29
minus,M AY N IH S,mYnIs,7.86
minuscule,M IH N IH S K Y UW L,mInIskyul,0.25
minute,M IH N IH T,mInIt,377.49
minutiae,M IH N UW SH IY AH,mInuSix,0.12
miracle,M IH R AH K AH L,mIrxkxl,26.65
miraculous,M AH R AE K Y UH L AH S,mxrAkyUlxs,2.1
mirror,M IH R AH R,mIrxr,24.18
mirth,M AH R TH,mxrT,0.22
mirthless,M AH R TH L IH S,mxrTlIs,0.02
misanthrope,M IH S AH N TH R OW P,mIsxnTrop,0.1
misbegotten,M IH S B IH G AA T AH N,mIsbIgatxn,0.1
misbehavior,M IH S B IH HH EY V Y AH R,mIsbIhevyxr,0.1
miscalculate,M IH S K AE L K Y UH L EY T,mIskAlkyUlet,0.04
miscalculation,M IH S K AE L K Y UH L EY SH IH N,mIskAlkyUleSIn,0.45
miscarry,M IH S K AE R IY,mIskAri,0.1
miscegenation,M IH S EH JH IH N EY SH IH N,mIsEJIneSIn,0.02
miscellaneous,M IH S AH L EY N IY AH S,mIsxlenixs,0.43
miscellany,M IH S AH L EY N IY,mIsxleni,0.04
mischief,M IH S CH IH F,mIsCIf,2.1
mischievous,M IH S CH AH V AH S,mIsCxvxs,0.43
misconception,M IH S K AH N S EH P SH AH N,mIskxnsEpSxn,0.43
misconstrue,M IH S K IH N S T R UW,mIskInstru,0.1
miscreant,M IH S K R IY AH N T,mIskrixnt,0.24
misdeed,M IH S D IY D,mIsdid,0.02
misdemeanor,M IH S D AH M IY N AH R,mIsdxminxr,1.43
miserable,M IH Z AH R AH B AH L,mIzxrxbxl,21.49
misery,M IH Z AH R IY,mIzxri,10.31
misfire,M IH S F AY AH R,mIsfYxr,0.41
misfortune,M IH S F AO R CH IH N,mIsfcrCIn,2.67
misgiving,M IH S G IH V IH NG,mIsgIvIG,0.06
misguide,M IH S G AY D,mIsgYd,0.02
mishap,M IH S HH AE P,mIshAp,1.04
misinformation,M IH S IH N F AH R M EY SH IH N,mIsInfxrmeSIn,0.27
misinterpret,M IH S AH N T AH R P R AH T,mIsxntxrprxt,0.33
misinterpretation,M IH S IH N T AH R P R AH T EY SH AH N,mIsIntxrprxteSxn,0.08
misjudge,M IH S JH AH JH,mIsJxJ,0.25
mislead,M IH S L IY D,mIslid,0.75
misleading,M IH S L IY D IH NG,mIslidIG,0.84
mismanage,M IH S M AE N IH JH,mIsmAnIJ,0.06
misnomer,M IH S N OW M AH R,mIsnomxr,0.14
misogynist,M AH S AA JH IH N IH S T,mxsaJInIst,0.16
misplace,M IH S P L EY S,mIsples,0.45
misquote,M IH S K W OW T,mIskwot,0.08
misrepresent,M IH S R EH P R IH Z EH N T,mIsrEprIzEnt,0.1
misrepresentation,M IH S R EH P R IH Z EH N T EY SH AH N,mIsrEprIzEnteSxn,0.08
miss,M IH S,mIs,467.65
misshapen,M IH S SH EY P AH N,mIsSepxn,0.29
missile,M IH S AH L,mIsxl,13.14
missing,M IH S IH NG,mIsIG,87.92
mission,M IH SH IH N,mISIn,47.06
missionary,M IH SH AH N EH R IY,mISxnEri,2.14
missive,M IH S IH V,mIsIv,0.12
misstep,M IH S S T EH P,mIsstEp,0.2
missy,M IH S IY,mIsi,8.1
mist,M IH S T,mIst,3.55
mistake,M IH S T EY K,mIstek,101.96
mistaking,M IH S T EY K IH NG,mIstekIG,0.84
mistletoe,M IH S AH L T OW,mIsxlto,1.92
mistress,M IH S T R IH S,mIstrIs,11.88
mistrial,M IH S T R AY L,mIstrYl,1.16
mistrust,M IH S T R AH S T,mIstrxst,0.63
misty,M IH S T IY,mIsti,1.57
misunderstand,M IH S AH N D AH R S T AE N D,mIsxndxrstAnd,3.29
misunderstanding,M IH S AH N D AH R S T AE N D IH NG,mIsxndxrstAndIG,8.27
misuse,M IH SH UW Z,mISuz,0.55
miter,M AY T AH R,mYtxr,0.49
miter,M AY T AH R,mYtxr,0.49
miter,M AY T AH R,mYtxr,0.49
miter,M AY T AH R,mYtxr,0.49
mitigate,M IH T IH G EY T,mItIget,0.41
mitigation,M IH T IH G EY SH IH N,mItIgeSIn,0.06
mitral,M AY T R AH L,mYtrxl,0.18
mitre,M AY T AH R,mYtxr,0.04
mitre,M AY T AH R,mYtxr,0.04
mitre,M AY T AH R,mYtxr,0.04
mitre,M AY T AH R,mYtxr,0.04
mitten,M IH T AH N,mItxn,0.45
mix,M IH K S,mIks,16.35
mixer,M IH K S AH R,mIksxr,1.08
mixing,M IH K S IH NG,mIksIG,3.45
mixture,M IH K S CH AH R,mIksCxr,2.47
moan,M OW N,mon,1.88
mob,M AA B,mab,12.94
mobile,M OW B AH L,mobxl,7.47
mobility,M OW B IH L IH T IY,mobIlIti,0.69
mobilization,M OW B AH L AH Z EY SH IH N,mobxlxzeSIn,0.37
mobilize,M OW B AH L AY Z,mobxlYz,1.02
mobster,M AA B S T AH R,mabstxr,0.84
moccasin,M AA K IH S IH N,makIsIn,0.04
mock,M AA K,mak,5.37
mockery,M AA K AH R IY,makxri,1.84
modality,M OW D AE L IH T IY,modAlIti,0.04
mode,M OW D,mod,5.16
model,M AA D AH L,madxl,32.06
moderate,M AA D AH R EY T,madxret,1.24
moderately,M AA D AH R AH T L IY,madxrxtli,0.67
moderation,M AA D AH R EY SH IH N,madxreSIn,0.73
moderator,M AA D AH R EY T AH R,madxretxr,0.16
modern,M AA D AH R N,madxrn,18.24
modernism,M AA D AH R N IH Z AH M,madxrnIzxm,0.04
modernistic,M AA D AH R N IH S T IH K,madxrnIstIk,0.04
modernity,M AH D AH R N IH T IY,mxdxrnIti,0.06
modernization,M AA D AH R N IH Z EY SH IH N,madxrnIzeSIn,0.1
modernize,M AA D AH R N AY Z,madxrnYz,0.12
modest,M AA D IH S T,madIst,5.88
modesty,M AA D IH S T IY,madIsti,1.76
modicum,M AA D IH K AH M,madIkxm,0.39
modification,M AA D AH F AH K EY SH IH N,madxfxkeSIn,0.84
modifier,M AA D AH F AY AH R,madxfYxr,0.04
modify,M AA D AH F AY,madxfY,0.98
modular,M AA JH UH L AH R,maJUlxr,0.16
modulate,M AA JH AH L EY T,maJxlet,0.1
modulation,M AA JH IH L EY SH IH N,maJIleSIn,0.14
module,M AA JH UW L,maJul,2.67
modus,M OW D AH S,modxs,0.39
moi,M W AA,mwa,1.96
moire,M W AA R EY,mware,0.02
moist,M OY S T,mOst,1.8
moisten,M OY S AH N,mOsxn,0.08
moisture,M OY S CH AH R,mOsCxr,1.22
molar,M OW L AH R,molxr,0.51
molasses,M AH L AE S IH Z,mxlAsIz,1.02
mold,M OW L D,mold,4.29
molding,M OW L D IH NG,moldIG,0.73
molding,M OW L D IH NG,moldIG,0.73
molding,M OW L D IH NG,moldIG,0.73
molding,M OW L D IH NG,moldIG,0.73
mole,M OW L,mol,8.06
molecular,M AH L EH K Y UH L AH R,mxlEkyUlxr,2.63
molecule,M AA L IH K Y UW L,malIkyul,0.78
molest,M AH L EH S T,mxlEst,0.61
mollify,M AA L AH F AY,malxfY,0.08
mollusk,M AA L AH S K,malxsk,0.16
molten,M OW L T AH N,moltxn,1.16
mom,M AA M,mam,430.39
moment,M OW M AH N T,momxnt,187.04
momentary,M OW M AH N T EH R IY,momxntEri,1.1
momentous,M OW M EH N T IH S,momEntIs,0.71
momentum,M OW M EH N T AH M,momEntxm,1.71
mon,M AA N,man,16.25
monarch,M AA N AH R K,manxrk,0.82
monastery,M AA N IH S T EH R IY,manIstEri,3.71
monastic,M AH N AE S T IH K,mxnAstIk,0.08
monasticism,M AH N AE S T IH S IH Z AH M,mxnAstIsIzxm,0.02
monde,M AA N D,mand,0.16
monetary,M AA N IH T EH R IY,manItEri,1.02
money,M AH N IY,mxni,640.76
moneyed,M AH N IY D,mxnid,0.04
moneymaking,M AH N IY M EY K IH NG,mxnimekIG,0.08
monic,M AA N IH K,manIk,0.04
monitor,M AA N IH T AH R,manItxr,13.12
monitoring,M AA N AH T AH R IH NG,manxtxrIG,4.51
monk,M AH NG K,mxGk,7.37
monkey,M AH NG K IY,mxGki,33.51
monochrome,M AA N AH K R OW M,manxkrom,0.08
monocle,M AA N IH K AH L,manIkxl,0.22
monogamous,M AH N AA G AH M AH S,mxnagxmxs,0.82
monogamy,M AH N AA G AH M IY,mxnagxmi,0.9
monograph,M AA N AH G R AE F,manxgrAf,0.14
monolith,M AA N AH L IH TH,manxlIT,0.84
monolithic,M AA N AH L IH TH IH K,manxlITIk,0.08
monologue,M AA N AH L AO G,manxlcg,1.14
monopolist,M AH N AA P AH L AH S T,mxnapxlxst,0.02
monopolistic,M AH N AA P AH L IH S T IH K,mxnapxlIstIk,0.02
monopolize,M AH N AA P AH L AY Z,mxnapxlYz,0.27
monopoly,M AH N AA P AH L IY,mxnapxli,2.76
monosyllable,M AA N OW S IH L IH B AH L,manosIlIbxl,0.04
monotone,M AA N IH T OW N,manIton,0.1
monotonous,M AH N AA T AH N IH S,mxnatxnIs,0.84
monotony,M AH N AA T AH N IY,mxnatxni,0.33
monsoon,M AA N S UW N,mansun,0.78
monster,M AA N S T AH R,manstxr,38.86
monstrosity,M AA N S T R AA S IH T IY,manstrasIti,0.75
monstrous,M AA N S T R AH S,manstrxs,2.39
month,M AH N TH,mxnT,95.18
monthly,M AH N TH L IY,mxnTli,2.98
monument,M AA N Y UH M AH N T,manyUmxnt,2.29
monumental,M AA N Y UH M EH N T AH L,manyUmEntxl,1.06
moo,M UW,mu,2.08
mood,M UW D,mud,34.04
moody,M UW D IY,mudi,2.25
moon,M UW N,mun,49.96
moonlight,M UW N L AY T,munlYt,6.94
moonlit,M UW N L IH T,munlIt,0.55
moor,M UH R,mUr,1.98
moot,M UW T,mut,1.18
mop,M AA P,map,4.14
moraine,M AH R EY N,mxren,0.08
moral,M AO R AH L,mcrxl,13.51
morale,M AH R AE L,mxrAl,4.12
moralist,M AO R AH L AH S T,mcrxlxst,0.12
moralistic,M AO R AH L IH S T IH K,mcrxlIstIk,0.02
morality,M AH R AE L IH T IY,mxrAlIti,3.71
morass,M AH R AE S,mxrAs,0.1
moratorium,M AO R AH T OW R IY AH M,mcrxtorixm,0.27
morbid,M AO R B IH D,mcrbId,2.59
more,M OW R,mor,1298.59
mores,M AO R EY Z,mcrez,0.82
morgen,M AO R G AH N,mcrgxn,0.25
morgue,M AO R G,mcrg,8.63
morning,M AO R N IH NG,mcrnIG,439
morose,M AH R OW S,mxros,0.35
morphine,M AO R F IY N,mcrfin,6.49
morphological,M AO R F AH L AA JH IH K AH L,mcrfxlaJIkxl,0.02
morphology,M AO R F AA L AH JH IY,mcrfalxJi,0.12
morrow,M AA R OW,maro,2.33
morsel,M AO R S AH L,mcrsxl,0.63
mortal,M AO R T AH L,mcrtxl,9.57
mortality,M AO R T AE L IH T IY,mcrtAlIti,1.51
mortar,M AO R T AH R,mcrtxr,2.29
mortgage,M AO R G IH JH,mcrgIJ,5.9
